"ID Produit Sellsy";Catégorie;Unité;"Tarif -20%";"Tarif -35%";"Tarif -40%";"Tarif 10%";"Tarif plein";Référence;"Nom commercial";"Prix référence HT";Description; lien; image
1067;CCRLX;m2;20,54;16,69;15,40;23,10;25,67;IDSSHEET2MM2FL140;"IDSSHEET RL - 2 FACES LISSES - 1 PLI - 1.40x20m - Ep.2mm";25,67;
1068;PLATAPIS;PIECE;104,18;84,65;78,14;117,21;130,23;EVA120185EP20;"EVA TAPIS MOUSSE D35 Kg/m3 - 120x185cm - Ep.20mm";130,23;
1069;PLATAPIS;PIECE;0,00;0,00;0,00;0,00;0,00;EVA120185EP32;"EVA TAPIS MOUSSE D40 Kg/m3 - 120x185cm - Ep.32mm";0,00;
106;CCTAPIS;PIECE;29,02;23,58;21,77;32,65;36,28;M11;"M11 CAILLEBOTIS NOIR - 80x120cm - Ep.23mm";36,28;
1070;PLATAPIS;PIECE;170,34;138,40;127,76;191,64;212,93;EVACLIP120185EP30;"EVA TAPIS MOUSSE CLIPSABLE D30 Kg/m3 - 120x185cm - Ep.30mm";212,93;
1071;PLATAPIS;PIECE;78,75;63,99;59,06;88,60;98,44;EVA120185EP15;"EVA TAPIS MOUSSE D40 Kg/m3 - 120x185cm - Ep.15mm";98,44;
1072;CCRLX;m2;0,00;0,00;0,00;0,00;0,00;MCSPORTNEIGE6JN10%;"SPORTNEIGE ROULEAU JAUNE/NOIR - 1.50x16m - Ep.6mm";0,00;
1073;CCDAL;PIECE;0,00;0,00;0,00;0,00;0,00;MCDALLE665.6X665.6;"SPORTNEIGE DALLE JAUNE/NOIR 10% - 633.5x665.6mm - Ep.6mm MACC";0,00;
1074;TEXTTAPIS;PIECE;5,77;4,69;4,33;6,49;7,21;BOSTON4060LETTREHO;"BOSTON LETTRE HOME - 40x60cm - Ep.5mm";7,21;
1075;TEXTTAPIS;PIECE;5,77;4,69;4,33;6,49;7,21;BOSTON4060MANDALA;"BOSTON MANDALA BONJOUR - 40x60cm - Ep.5mm";7,21;
1076;TEXTTAPIS;PIECE;5,77;4,69;4,33;6,49;7,21;BOSTON4060JUNGLE;"BOSTON JUNGLE WELCOME - 40x60cm - Ep.5mm";7,21;
1077;TEXTTAPIS;PIECE;9,81;7,97;7,36;11,03;12,26;BOSTON5080MANDALA;"BOSTON MANDALA BONJOUR - 50x80cm - Ep.5mm";12,26;
1078;TEXTTAPIS;PIECE;9,81;7,97;7,36;11,03;12,26;BOSTON5080FLEURHO;"BOSTON FLEUR HOME - 50x80cm - Ep.5mm";12,26;
1079;TEXTTAPIS;PIECE;9,81;7,97;7,36;11,03;12,26;BOSTON5080JUNGLE;"BOSTON JUNGLE WELCOME - 50x80cm - Ep.5mm";12,26;
107;CCTAPIS;PIECE;16,35;13,29;12,26;18,40;20,44;M15;"M15 CAILLEBOTIS NOIR - 50x100cm - Ep.22mm";20,44;
1080;TEXTTAPIS;PIECE;13,82;11,23;10,36;15,54;17,27;BOSTON50120POLY05;"BOSTON POLYGONES BLEU - 50x120cm - Ep.5mm";17,27;
1081;TEXTTAPIS;PIECE;13,82;11,23;10,36;15,54;17,27;BOSTON50120FEUGOLD;"BOSTON FEUILLE GOLD - 50x120cm - Ep.5mm";17,27;
1082;TEXTTAPIS;PIECE;13,82;11,23;10,36;15,54;17,27;BOSTON50120MANDA20;"BOSTON MANDALA NOIR - 50x120cm - Ep.5mm";17,27;
1083;COCOTAPIS;PIECE;10,14;8,24;7,61;11,41;12,68;COCOB4060WELCFLEUR;"COCO BLANCHI/LATEX WELCOME FLEURS - 40x60cm -Ep.15mm";12,68;
1084;COCOTAPIS;PIECE;10,14;8,24;7,61;11,41;12,68;COCOB4060RAYPLANTE;"COCO BLANCHI/LATEX RAYURE PLANTE - 40x60cm - Ep.15mm";12,68;
1085;COCOTAPIS;PIECE;9,22;7,49;6,92;10,38;11,53;COCON4060PALMIERS;"COCO NATUREL/LATEX PALMIERS - 40x60cm - Ep.15mm";11,53;
1086;COCOTAPIS;PIECE;9,22;7,49;6,92;10,38;11,53;COCON4060WELCZEBRE;"COCO NATUREL/LATEX WELCOME ZEBRE - 40x60cm - Ep.15mm";11,53;
1087;COCOTAPIS;PIECE;9,22;7,49;6,92;10,38;11,53;COCON4060JUNGLE;"COCO NATUREL/LATEX JUNGLE - 40x60cm - Ep.15mm";11,53;
1088;COCOTAPIS;PIECE;11,58;9,41;8,69;13,03;14,48;COCON4575PALMERAIE;"COCO NATUREL/LATEX PALMERAIE - 45x75cm - Ep.15mm";14,48;
